Cidade;Cep;PopulaçãoEstimada;PopulaçãoUltimoCenso;DensidadeDemografica;CodigoMunicipio;Gentilico;Prefeito;Codigo
Aguanil;37273-000;"4.557
    pessoas";"4.054
    pessoas";"17,47
    hab/km²";3100807;aguanilense;JOSE MARCIO DE OLIVEIRA;1
Aiuruoca;37450-000;"4.557
    pessoas";"6.162
    pessoas";"9,48
    hab/km²";3101201;aiuruocano;ERLISSON VITOR LOPES;1
Alagoa;37458-000;"5.949
    pessoas";"2.709
    pessoas";"16,79
    hab/km²";3101300;alagoense;JULIANO DINIZ DE OLIVEIRA;1
Albertina;37596-000;"2.657
    pessoas";"2.913
    pessoas";"50,22
    hab/km²";3101409;albertinense;JOÃO PAULO FACANALI DE OLIVEIRA;1
Alpinópolis;37940-000;"20.059
    pessoas";"18.488
    pessoas";"40,66
    hab/km²";3101904;alpinopolense;RAFAEL HENRIQUE DA SILVA FREIRE;1
Alterosa;37145-000;"14.566
    pessoas";"13.717
    pessoas";"37,89
    hab/km²";3102001;alterosense;MARCELO NUNES DE SOUZA;1
Andradas;37795-000;"41.704
    pessoas";"37.270
    pessoas";"79,40
    hab/km²";3102605;andradense;MARGOT NAVARRO GRAZIANI PIOLI;3
Andrelândia;37300-000;"41.704
    pessoas";"12.173
    pessoas";"12,11
    hab/km²";3102803;andrelandense;FRANCISCO CARLOS RIVELLI;3
Arantina;37360-000;"12.189
    pessoas";"2.823
    pessoas";"31,57
    hab/km²";3103603;arantinense;EDIMAR LUIS DE OLIVEIRA;1
Arceburgo;37820-000;"2.779
    pessoas";"9.509
    pessoas";"58,38
    hab/km²";3104106;arceburguense;GILSON PEREIRA DE MELLO;1
Areado;37140-000;"15.288
    pessoas";"13.731
    pessoas";"48,50
    hab/km²";3104304;areadense;DOUGLAS ÁVILA MOREIRA;1
Baependi;37443-000;"19.249
    pessoas";"18.307
    pessoas";"24,39
    hab/km²";3104908;baependiano;DOUGLAS STADUTO SOUZA;1
Bandeira do Sul;37740-000;"19.249
    pessoas";"5.338
    pessoas";"113,41
    hab/km²";3105301;bandeirante-do-sul;EDERVAN LEANDRO DE FREITAS;1
